('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'AppLovin', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'InMobi', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'AppNext', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'AdColony', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'Millennial Media', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'Chartboost', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.wThebigcannabisstrainslist_9582190_1.0.19.log', 'com.wThebigcannabisstrainslist_9582190', 'SDKConnectionRough', 'Unity Ads', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.wThebigcannabisstrainslist_9582190_1.0.19.apk')
('com.herocraft.game.yumsters.free_2.14.52.log', 'com.herocraft.game.yumsters.free', 'SDKConnectionRough', 'Ironsource', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.yumsters.free_2.14.52.apk')
('com.herocraft.game.yumsters.free_2.14.52.log', 'com.herocraft.game.yumsters.free', 'SDKConnectionRough', 'InMobi', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.yumsters.free_2.14.52.apk')
('com.herocraft.game.yumsters.free_2.14.52.log', 'com.herocraft.game.yumsters.free', 'SDKConnectionRough', 'Fyber', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.yumsters.free_2.14.52.apk')
